,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
ESP,760,10996,15380,0,191609,501306,19961,410,88744,1329708,9259,0,286,3827207,1123,1862,12647,288171,10135,2099,5673,29333,480,1039,94584,520605,2398,189,0,880,624,474172,4085902,169164,395776,7703,6266,2142,1678,412313,41,37575,59381,228923,568,41258,575433,18595180,544,67,1759283,278465,559485,264789,109808,72,0,77375,8257,0,0,839234,396,17051584,5,2413,29950378,24329,13089,75,3282,19292,1257,41283,493475,26609,144,73953,38728,190469,1331,480079,51755,179099,2679802,48073,9649,145624,491535,8295162,4349,34033,555269,24308,0,0,26458,3536,5865,15,317,248280,33390,869,56343,607,67,753,18798,61,166256,311613,76140,104,1034976,28402,3244,18635,731542,2,26878,12973,137410,7875,1894,4774,32424,17698,505,32586,6047,991,24434,32195,0,4437445,1756602,9966,0,13646,10053,71507,48834,183539,74105,94,248,1062250,7,3716117,56375,0,39882,706367,1197717,1185,91363,2624,78386,53592,13,1129,13703,0,88,300,119,105154,10383,1777774,0,6381,0,349,616,1003,158300,861,495,0,18,0,1992,72091,452296,1,13401,3797,167351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92677,2802510,4780,221,136765,168,36365,13,65,0,72705,1658,1758
EST,186,51,1771,0,4488,380,1256,1,10998,34149,1647,0,5,33004,7,1,106,21702,166,355,290,3249,15,10,9,5015,41,12,0,35,0,6978,27545,184,19936,43,21,1,27,240,7,20,130,470,10,3644,26238,202767,15,0,45676,289,78,117,1329,2,77991,0,62,0,0,121701,19,48824,0,16,131821,5565,122,19,6,3,0,24,24224,42,9,2888,35,22895,14,8972,1803,3231,18903,441,181,3949,6338,94411,63,443,5981,1574,0,0,431,746,127,0,4,14985,144,16,439,10,0,20,1386,3,119425,4879,1539519,0,724,1501,33,715,912,0,661,96,5676,61,151,31,46,283,7,992,307,0,196,13,0,37284,102613,114,0,252,560,130,149,206,1268,0,6,197237,0,13821,9,0,260,9054,615119,16,250,19,37,2985,0,3,11,0,0,2,30,8036,5808,113390,0,216,0,1,0,20,10249,72,47,0,0,0,58,241,42178,0,325,77,28475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,60231,326,2,33,3,1302,16,0,0,1110,61,24
ETH,132,1285,48,0,203812,157,58,0,8348,3835,121,0,1540,13426,1453,2232,948,210,11056,1,61,54,3,5,63,1896,8,9,0,1338,374,25593,10146,98,81716,3212,4497,3115,3364,221,239,87,27,67,3,298,1090,27704,50799,2,4358,27,928,81,14492,142,9032,76,0,0,0,2238,33,17543,2,2271,32495,198,6486,1,444,324,128,1367,3024,28,9,8502,7,189,27,467,872,48849,2383,832,1408,108,21463,22907,39,1743,3468,68,0,0,84613,15,190,4,1,6106,21243,39,111225,504,59,5,932,779,72,234,96,7,2077,17,897,75,257,7,23,5448,302,81,32,6701,216,925,3265,1203,1295,2154,42644,9,0,12481,8354,286,0,1015,10035,1394,65,234,1253,3,66,1448,5,837,4,0,15694,258,2847,7615,160473,46874,3265,931,3,746,5,0,7203,34,0,3,112,15310,0,2815,0,0,2863,2081,16902,21,10,0,0,0,29,1121,17053,1,14785,18773,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,161536,28,3,68,0,414,3,0,31,26700,5308,4158
EU27_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701713821,334337699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT_EU27_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334955265,1554161742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,1073,131,3982,0,55339,3460,1254,85,21715,129033,1709,0,42,121712,128,81,1560,34661,481,578,1930,7018,29,134,303,12862,517,14,0,190,32,29600,190854,3402,108645,191,462,169,70,1593,2,100,941,3401,63,7861,164713,846813,59,16,481726,931,2083,473,7351,205,894045,114814,2002,0,0,0,74,297640,0,45,527861,2834,1043,100,52,324,1,23,215854,172,39,39471,163,85340,75,141720,14658,33115,60686,5948,12324,48759,26370,355474,344,2770,82324,2824,0,0,4315,634,1600,1,15,22789,662,154,2532,119,3,123,4343,13,45582,10546,118426,24,5055,1710,176,2100,7782,0,2600,252,23567,987,540,454,102,2491,203,7705,1259,15,1900,368,0,215660,267837,2495,0,2970,748,2063,718,1616,9806,7,50,220158,2,106641,81,0,2628,12932,126043,210,3545,326,880,30830,2,128,64,0,1252,2,97,600,26033,1011537,0,854,0,36,19,83,147043,279,125,0,1,0,262,2290,136157,0,2692,853,26126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,226666,346,10,172,87,11675,3,14,0,10052,927,322
FJI,58,9,1,0,1503,361,1,4,520681,314,13,0,2,312,2,5,284,22,11,10,0,6,12,13,0,354,16,22,4,11,26,13805,1155,149,53685,9,17,1,15,42,0,1,48,62,17,28,235,2871,1,1,618,13,2,43,751,0,937,22,37,0,0,108,0,1767,597,0,8548,9,60,11,11,3,0,13,47,31,4,26423,1,34,5,64,3982,7718,258,17,1043,7,379,3035,26,98,9116,17,0,0,211,3,166,16596,0,11388,51,30,153,3,0,10,958,17,11,17,11,2,105,7,16,38,191,809,4,26,30,99,81,9,0,56,7,1505,10,0,142,10,270,769,242,151,7102,252545,16,305,53,61,3237,630,12480,146,0,112,3,0,79,49,635,15,282,28,16,8044,7338,9,14,0,9,0,13,1,16,229,0,23,0,1,0,5,1980,3,2,0,19378,0,21,16,91,5212,31,79,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,77869,3,0,6,1,575,15943,15920,0,591,46,22
FRA,5042,25321,45703,0,356789,107279,31864,607,194196,1203128,29071,0,1955,5340223,54488,38327,16364,132126,18637,8424,9840,26560,1059,1746,8038,363692,1614,904,17,2825,13174,1671145,6807833,61412,2508310,170586,151091,39273,76220,66806,26592,59152,39717,158610,801,61213,634020,13114614,9490,480,915504,178288,3434432,14465,156087,267,17051584,42454,15774,0,0,308311,1464,0,40,81389,10074992,26637,13664,253,40755,2815,2795,3863,1474332,13955,222,220844,3237,346290,36403,413561,169049,356563,8090296,109035,36800,179996,638805,13125731,4175,31457,664492,25200,0,0,27129,5920,73316,11,421,288377,43679,18906,236365,999,233,2442,108376,177,119007,6725337,49853,918,3173522,36409,107822,54405,711471,8,30820,96134,205111,32172,8839,4166,20969,286955,804,80493,15728,22042,32533,6519,0,4913189,576592,18337,0,39686,21399,53740,21015,62496,69564,205,963,1203295,34,3802714,5927,0,66199,349657,645663,5310,151606,6054,351077,143844,33,3526,2502,0,394,1573,336,30404,41856,778508,0,53121,0,1437,18166,33178,544023,1056,7928,0,78,0,1616,1585881,871619,2,33370,5930,132676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15799,5794602,16116,147,12148,1478,195632,257,138,14,152740,3203,4091
FSM,0,0,0,0,7,1,0,0,1037,9,0,0,0,3,0,0,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,256,20,0,2932,0,2,0,0,0,0,0,1,0,0,0,21,56,0,0,9,0,0,0,0,0,10,0,1,0,0,0,553,40,0,0,78,0,0,0,0,0,0,0,0,0,0,237,0,0,1,0,173,37,2,0,0,0,2,15,0,0,3645,0,0,0,4,0,3,85,0,737,0,2,0,0,0,0,7,0,0,0,0,0,5,0,0,0,1,10249,0,0,2,6,4,0,0,4,0,19,0,0,0,0,0,16,0,14,139,392,1,0,3,0,2221,1714,284,4,0,0,0,0,1,0,11,2,0,0,0,63,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,5,0,1,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7318,0,0,1,0,26,19,17,0,15,0,0
GAB,1,662,18,0,9796,28,1,0,158,498,24,0,472,2261,76151,4063,17,146,45,3,5,12,1,0,8,357,6,12,0,78,780,1266,1808,17,10625,19317,89312,5627,48773,42,9,57,11,189,0,18,196,2077,38,0,154,9,801,3,1674,20,2507,28,3175,0,0,36,0,82129,0,0,3669,9,3843,2,2067,46,63,3796,182,5,9,1132,17,216,18,68,609,3591,93,12,11,3,674,4249,101,25,339,46,0,0,1801,12,10,0,0,690,71,3,8576,83,2,0,118,9,37,143,133,0,12733,18,789,13,46,0,29,14166,207,10,2,221,1019,522,28,1092,186,824,32828,2,0,1786,261,5,0,18,64,117,31,18,1038,0,20,1038,0,1277,0,0,101,641,401,1049,685,130,17162,329,0,135,0,0,3,9488,1,0,23,94,0,44,0,0,1921,11615,305,1,1,0,0,0,22,3832,5826,0,543,424,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6958,0,0,5,0,38,0,0,0,20404,296,283
GBR,35534,34716,76383,1,1622427,91518,10046,86091,1696334,1376798,52054,0,787,1916337,1373,1633,192038,863417,85057,28602,17535,20191,6406,53201,5722,389316,236404,17971,5,12981,570,1661255,4501371,100560,994468,13901,13163,9111,6891,70321,310,28546,44303,171004,15318,1730289,1415080,10193783,3715,8521,2677590,94204,127535,26246,545906,5602,30100192,125999,32709,0,0,522057,6901,10159020,99,3559,0,24241,130869,376595,2351,41465,600,4266,3479038,9644,9320,713240,2821,839658,1104,1427131,404022,1652092,9593030,116326,149061,715547,608177,10032371,169397,76967,538281,54462,0,0,185420,5324,29616,37,13076,333198,185813,3603,93081,3767,839,84480,235452,859,742653,392868,553100,451,695336,73503,6584,154829,651358,8,69329,3362,930481,24965,6795,8845,1385,180254,13182,583732,16539,697,418884,6962,133,6771308,1599450,81062,4,433592,209185,731199,14098,57384,222234,219,1802,5251430,9,5129814,2854,0,177791,1091455,474529,7281,477855,27611,12107,677607,189,26125,2218,0,18748,376,691,517733,160906,1836467,0,22768,0,10302,1437,1778,1038285,1319,39955,0,491,0,73112,59075,3383466,0,71286,58028,170957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9922,8412081,10258,11539,9876,9758,143507,191,625,28,654187,34815,60613
GEO,452,18,783,0,138018,282,12071,1,2962,15332,2029813,0,8,11686,8,16,904,37202,4152,34,768,37226,2,3,1,680,19,2,12,7,27,4639,14789,172,23980,148,91,47,10,554,4,4,112,84,1,11290,12456,104510,139,0,5007,30,148,353,19064,246,25037,5467,177,0,0,2910,2,27094,0,7,25017,0,164,304,4,8,1,0,32918,5,4,757,2,1356,1,27220,446,37848,2083,171072,6874,181,106444,46235,56,4046,2402,65386,0,0,186,9529,94,0,2,4586,6323,18,1534,17,3,1,1017,11,24620,901,21451,1,850,3319,16,281,891,0,880,15,1054,51,210,27,17,74,8,544,481,24,1381,23,0,25870,3290,239,0,755,5475,2309,228,72,610,0,16,55637,0,2753,36,0,7610,15707,1104086,36,21535,497,71,1245,0,78,4,80,134,0,29,204,1029,7346,0,54,0,6,8,88,1512,1693,747,0,5,0,51,208,3460208,0,184,73,223290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,42096,2884,2,33,2,192,0,7,0,1548,45,23
GHA,68,3337,44,0,29230,275,20,8,4387,2635,129,0,210,12929,7632,11339,275,530,539,65,38,95,20,13,33,2674,58,23,0,971,317,17167,7318,136,22674,44373,7262,1650,1464,343,30,397,35,259,3,427,1015,40332,57,9,4687,112,726,153,7517,135,13754,140,6314,0,0,1136,60,12471,0,3420,126549,170,0,42,3000,12332,612,1871,1575,18,45,2129,23,605,63,607,710,13088,2113,517,778,92,4590,31120,82,3523,2287,78,0,0,16624,22,65,0,9,2634,3673,19,10296,53052,22,9,365,343,202,353,325,11,6702,53,497,121,351,0,205,6290,519,126,29,1017,901,1148,781,1531,1037,2550,548221,9,0,56118,3007,133,0,293,364,762,224,446,2452,0,59,1358,0,7456,21,0,5987,677,1831,2945,16985,2000,29537,1936,2,35006,13,0,62,3336,56,18,117,2407,0,288,1,10,888,5077,1312,17,1,0,5,0,255,1000,8287,0,3411,4829,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,127288,6,42,97,4,332,1,3,2,52828,2959,2350
GIB,1,30,2,0,339,30,1,60,210,40,17,0,0,50,0,0,19,100,8,17,0,7,2,18,0,72,11,5,0,0,0,347,89,5,407,1,3,1,0,5,0,4,5,2,4,98,56,379,0,2,63,2,2,5,39,0,141,18,4,0,0,60,6,205,0,1,376231,327,37,0,0,0,0,1,421,0,4,479,7,86,0,39,183,2420,225,0,11,21,891,149,8,10,109,11,0,0,30,0,0,0,0,65,18,0,14,1,2,16,38,0,11,29,41,0,4120,5,0,5,104,0,0,0,178,74,0,4,1,17,0,158,4,0,41,6,0,157,71,9,0,36,9,51,2,12,4639,0,0,127,0,48,2,0,41,154,1083,0,19,5,3,327,0,0,0,0,0,0,0,12,0,152,0,5,0,4,0,0,233,0,0,0,0,0,16,2,324,0,11,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3124,0,4,0,5,12,0,0,0,443,0,1
GIN,3,994,9,0,1940,5,3,0,401,138,6,0,105,8504,2088,2030,43,33,3,3,1,12,0,0,10,899,1,0,0,27,206,3732,2242,22,8627,23730,2054,746,544,12,17,74,6,124,0,26,68,4671,11,0,187,7,413,25,1269,1,3508,7,535,0,0,50,6,38988,0,1178,2402,15,3297,0,0,428,385,56,90,1,1,299,1,38,51,58,589,1749,59,189,2,1,177,2574,4,27,338,7,0,0,532,1,8,0,0,233,954,0,2660,427,3,0,28,2,8,157,74,0,21751,11,113,1,40,0,4,10078,18,8,1,467,1247,41,71,291,18,1034,2646,2,0,560,97,17,0,13,17,58,8,16,216,0,0,71,0,1000,0,0,388,56,1146,245,1110,74,51040,58,0,81,4,0,2,2,3,0,12,284,0,11,0,0,441,3821,256,0,2,0,0,0,1,1684,1973,0,129,228,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13294,9,0,3,0,99,0,0,0,1221,95,70
GMB,5,298,7,0,654,0,5,0,29,450,16,0,24,5395,1913,406,69,10,36,13,1,6,3,0,3,63,104,0,0,34,29,777,2423,2,531,1294,487,112,65,1,3,138,2,725,2,60,70,7682,5,1,3193,0,82,8,357,4,19889,12,575,0,0,281,3,3132,0,56,37616,4,11914,0,356,0,410,42,28,2,1,34,0,28,4,61,54,1280,85,7,5,4,76,2190,3,21,37,3,0,0,862,2,5,0,0,85,49,5,1987,1041,14,0,32,66,10,0,5,1,3141,0,12,3,80,0,0,82,20,4,0,38,103,56,55,85,53,283,40917,0,0,5660,1543,1,0,7,21,119,8,0,76,0,0,80,0,426,1,0,459,70,107,151,706,229,70318,24,0,6502,0,0,13,3,3,0,3,3842,0,8,0,0,41,259,63,0,0,0,0,0,7,370,1658,0,242,331,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10404,0,0,9,5,8,0,0,0,787,91,127
GNB,2,418,2,0,215,19,3,0,1,58,5,0,6,280,568,1369,5,0,1,1,0,3,0,0,9,1726,0,0,0,6,14,93,486,2,276,2283,249,69,103,16,6,4924,8,30,0,0,0,419,5,0,142,3,96,11,81,0,1519,5,126,0,0,2,0,2915,0,90,738,2,654,0,465,376,0,61,16,2,0,18,2,2,3,7,8,321,1,4,4,1,6,1513,0,23,17,0,0,0,224,1,2,0,0,10,6,0,425,83,1,0,7,2,2,19,4,2,4914,1,20,0,19,0,0,607,5,1,0,175,107,14,2,1,5,387,815,2,0,152,8,4,0,0,0,22,0,5,37,0,0,17,0,18391,4,0,37,12,102,63,139,31,23520,29,0,80,1,0,0,77,0,0,0,68,0,8,0,0,54,1368,7,0,0,0,0,0,1,318,165,0,60,101,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,640,2,0,1,0,24,0,0,0,246,20,30
GNQ,0,143,4,0,403,51,0,0,30,136,14,0,45,271,13538,107,55,189,4,0,0,28,0,0,71,930,1,0,0,32,15,393,305,77,9863,787,45356,102,929,157,5,273,11,360,0,8,45,1503,8,0,96,96,162,51,1542,3,42108,23,1761,0,0,31,9,3951,0,3229,4430,1,1952,0,88,40,39,0,217,18,0,475,65,168,1,27,160,1987,112,18,6,0,918,1117,6,57,14,5,0,0,335,2,2,0,0,962,45,0,2902,10,14,0,30,11,110,14,165,4,3179,12,137,3,116,0,298,224,22,3,0,91,106,42,13,352,70,80,4725,6,0,562,114,33,0,7,12,114,19,105,4026,0,0,450,8,1828,100,0,33,490,670,90,39,100,1307,224,0,12,11,0,0,929,0,0,16,33,0,14,0,0,765,1922,325,0,0,0,0,0,83,332,484,0,145,141,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7009,0,0,122,0,147,0,0,0,1748,96,190
GRC,2789,396,1133223,0,84554,12215,15007,34,178548,525797,2926,0,65,695763,68,77,6215,3679862,4307,729,2019,3728,17,141,98,21306,214,25,0,211,19,166435,771790,3525,71221,408,786,1943,252,2319,166,91,443,7326,84,1065234,455870,3563206,399,12,254665,4497,6389,369,88223,48,498135,24143,3086,0,0,201851,58,1474332,0,181,3433841,36174,1440,344,62,20,12,131,0,268,28,17382,296,45718,44,170767,8431,45990,76017,23217,6697,4005,191051,2221093,529,29848,23546,9085,0,0,3807,726,385,0,12,20902,7133,80,63223,64,169,38,3994,8,53643,61884,28275,10,12749,20683,472,3205,12217,0,1761604,68,51721,493,236,402,226,3475,125,7443,631,97,5516,108,0,570358,194338,736,1,3057,3354,19904,1872,1232,18050,2,64,254101,0,65852,146,0,21945,1117109,758933,228,25746,928,890,21529,17,97,115,0,47,5,20,121713,10534,294640,0,790,2,26,83,555,17247,320,172,0,2,0,539,5402,343049,0,2197,764,135085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,852322,1136,16,1025,29,3192,2,16,0,26084,859,524
GTM,6,12,0,0,181,7063,5,49,966,1275,13,0,3,1801,2,10,15,76,6,808,0,20,28627,120,1513,8117,304,3,0,0,6,39564,3605,5996,1047,8,7,5,11,60357,0,0,134526,11366,138,17,480,9985,0,14,1236,18773,6,9149,91,0,27523,36,27,0,0,185,14,13310,0,8,8896,6,29,5,2,1,4,22,312,0,154,346,143244,121,1204,207,57,800,553,12,10,20,2414,7493,1156,295,1624,25,0,0,90,0,11,3,42,1560,9,0,72,2,0,86,12,6,39,133,42,0,189,2,3,0,225703,0,6,8,110,17,0,27,0,6,10,80,1,1,17,71037,0,4686,864,10,0,146,36,3,73643,14285,387,0,6,433,0,810,1879,0,29,109,920,8,31,0,17,220,1,9,1372823,0,0,0,75,2,8,988,0,1,0,38,0,1,198,2,0,0,1,0,1100,12,225,0,33,41,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,843254,0,10,4687,41,30,1,0,0,280,22,6
GUY,0,1,1,0,120,185,1,6369,263,25,9,0,3,98,0,9,12,12,2,1620,1,0,350,92,58,1849,40600,0,0,4,0,43955,144,194,1086,10,4,2,0,1013,1,1,605,8156,641,6,2,263,1,1954,125,3153,10,333,9,0,141,9,7,0,0,36,5,237,0,12,8257,5,53,0,7,1,0,0,20,169,0,56,55,76,1506,19,189,661,62,10,0,4,29,229,34754,4,52,10,0,0,47,0,3,0,1410,49,7,0,6,3,0,6378,16,2,17,1,17,4,39,1,0,2,680,0,0,1,18,2,3,1,15,8,1,100,2,0,61,166,0,545,52,0,0,24,5,7,2332,679,1020,0,6,87,0,30,73,0,10,107,495,7,38,2,12,49,0,0,143,0,0,0,12271,0,0,77,0,3,0,291,0,1,49,0,0,0,0,0,81999,5,108,0,8,44,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,204263,0,5968,1708,3434,9,1,2,0,124,24,13
HKG,265,1522,527,0,127022,7115,453,48,822260,27087,645,0,93,27394,245,202,29790,3677,5341,417,410,1652,281,212,501,32497,221,33927,16,2091,25,466141,1024828,7563,98424336,1272,2127,1903,885,5592,18,27,1014,1251,339,4137,17971,249495,490,5,34669,463,3921,1288,11817,10,79850,3099,8050,0,0,39907,24451,210762,115,1128,707422,891,2360,363,431,45,18,352,16645,345,26,0,194,4998,50,15548,1013137,549922,22952,10411,1770,7210,57866,152954,1239,8563,3931094,8666,0,0,8627,612,182651,55,63,2113699,3887,7339,2479,89,30,41,40307,737,3454,2811,2294,6748405,8287,419,6438,42634,30639,17,445,870,1477,74811,21292,4213,374,17591,524,914815,2984,115,7303,93,0,104865,14258,54755,21,122477,2270,28304,2299,5029,1675082,1787,27612,22879,20,28404,203,0,11577,6513,120099,499,20825,676,915,1574693,957,199,76,0,53,4,373,56,1449,42719,0,3412,0,22,214,689,2683610,78,31,0,2038,0,552,2266,35081,7,5678,4083,13622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,1114417,379,17,3258,64,631353,962,2988,2,58676,5338,2528
