,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AZE,4216,234,542,0,185245,125,158,2,2313,8361,0,0,3,3462,14,8,1577,8256,3082,47,597,25346,0,0,3,584,27,10,12,11,2,3060,8228,92,22534,59,174,25,22,673,4,1,88,88,1,3589,18231,47106,62,0,2126,37,278,165,3400,28,9655,1718,129,0,0,1643,24,29372,0,19,53498,2029813,109,20,6,15,3,11,2804,15,19,719,16,1711,7,13399,1540,7202,865,1300740,30027,45,26182,30998,4,1285,1362,126029,0,0,159,10868,28,0,0,3935,2304,6,902,8,20,0,679,4,3560,510,5790,1,740,2450,12,890,823,0,731,28,597,76,201,45,9,59,8,2260,57,14,497,24,0,6984,3098,134,0,560,1842,3859,39,30,1345,0,10,4420,0,1589,24,0,7013,4802,1640558,31,169230,356,69,2327,2,48,1,127,64,0,19,139,1444,4665,0,111,0,0,13,5,2758,2334,1607,0,1,0,233,256,917630,0,165,86,160241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21717,17869,0,82,0,347,1,1,0,1062,46,17
B99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,11,142,0,0,4303,5,4,0,215,166,2,0,0,3476,305,233,34,10,10,0,8,1,0,0,13,115,0,0,0,35,515,1544,1039,4,1610,685,1166,675,414,11,13,6,0,3,0,7,4,753,159,0,147,1,84,8,829,7,264,4,2327,0,0,51,3,2022,0,479,640,7,204,0,90,31,10,30,73,4,3,89,0,15,27,21,33,1377,47,43,2,1,104,1386,0,49,38,16,0,0,19183,0,8,0,0,224,23,2,238,20,2,0,3,23,12,11,1,0,367,4,311,0,27,0,1,350,2,6,3,181,58,133,70,40,63,214,400,0,0,779,148,14,0,10,2127,117,8,10,45,0,0,41,0,75,6,0,36,22,303,20635,388,524,871,15,0,42,0,0,6,13,1,0,2,585,0,59,0,0,268,181,116,1,1,0,0,0,0,275,253,0,6929,11526,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2510,0,0,4,0,270,0,0,1,2827,795,376
BEL,3107,3074,47169,0,75738,11554,14716,611,63536,590260,3409,0,3729,0,6298,6078,4266,163454,2096,1338,6610,5677,201,103,2671,77718,708,280,1620,1433,1017,120433,612865,18821,214304,10917,20878,39472,5481,18559,85,62593,12369,28473,667,66607,275819,2289513,745,393,397525,53050,77133,7523,123511,226,3822724,32821,13426,0,0,122934,276,5340223,3,2187,1916337,11578,11988,65,8192,5301,255,266,676287,1854,88,27394,349,193068,1047,324365,50668,82858,404978,20762,10095,32280,134939,2286208,6380,11338,80435,4711,0,0,12585,2761,18367,1,38,38096,6748,5798,33190,3354,53,263,15325,107,63588,320785,68801,5079,848954,7974,2263,5873,67916,3,32083,3131,84794,8032,2202,1864,1368,16118,1016,21711,11747,2986,9101,3135,0,3986486,126514,7193,0,13199,3108,15985,5480,20077,21892,101,357,485499,7,816988,1636,0,9755,279497,139267,15083,17219,1414,25181,32678,38,4566,1025,21495,612,151,2252,66868,74803,257985,6385,3247,2,96,918,5529,123984,370,318,0,8,0,525,107004,464462,0,11159,8127,43391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233,575508,1769,125,2735,84,30252,25,57,1,57310,1833,1447
BEN,0,1714,8,0,1391,9,6,0,61,210,20,0,333,7139,0,21405,19,46,3,1,3,5,1,6,1,493,1,0,0,87,1730,4178,2390,9,13669,42700,92948,1797,42433,116,38,166,4,72,0,5,59,4504,27,0,264,21,328,19,594,8,1229,9,2195,0,0,124,1,54946,0,67797,1391,19,8426,0,2020,1935,528,17867,86,1,0,231,1,38,126,36,66,2344,33,56,45,2,330,4053,4,39,305,1,0,0,1521,2,10,0,1,140,811,3,4821,478,3,0,34,14,24,321,26,0,5063,27,429,5,776,0,7,7418,33,4,0,151,390,103,72,384,80,4527,193761,44,0,828,98,9,0,35,21,158,20,10,207,0,0,59,0,164,0,0,65,68,369,1431,6135,138,16998,34,2,478,1,0,7,8,5,1,10,181,0,33,0,0,2105,33699,132,1,1,0,0,0,2,1132,1546,0,423,548,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6237,0,0,6,0,49,1,0,0,5037,212,131
BFA,4,94,12,0,1326,16,5,0,428,553,5,0,235,6609,21405,0,18,21,10,0,4,25,8,3,7,210,0,0,0,99,687,5609,3801,13,7584,46177,3681,807,1496,17,46,264,2,138,0,18,69,4535,58,0,610,15,2220,19,844,2,1936,1,2398,0,0,101,5,44545,0,2979,1743,13,11227,0,2047,407,1199,81,103,8,6,200,0,85,168,98,158,1159,74,68,26,4,267,14562,0,76,591,22,0,0,1758,1,14,0,0,200,122,11,1405,216,38,0,22,34,6,356,18,0,9271,23,349,3,34,0,1,20229,113,1,25,199,971,101,81,59,71,14197,30753,1,0,1057,73,4,0,23,14,82,12,18,220,0,4,107,0,491,0,0,213,73,393,463,1961,664,23587,50,0,229,0,0,3,13,26,0,18,365,0,15,0,0,2361,20840,268,4,3,0,0,0,0,4696,4813,0,492,603,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11671,39,0,4,0,23,0,1,0,2419,244,123
BGD,1090,153,31,0,861813,296,500,1,47541,3814,992,0,82,3837,21,13,0,399,102787,12,174,431,17,132,110,1410,14,21495,19300,588,293,42614,6859,72,171488,268,168,183,18,164,2,1,18,45,21,3705,1080,20591,149,1,4587,26,1298,55,9005,248,13950,254,1120,0,0,1699,400,15800,1,45,195593,917,260,16,47,60,5,40,5717,13,12,28494,23,227,202,334,43095,517333,4352,6976,13502,25,64,73802,27,24999,36638,756,0,0,1858,466,2479,0,1,33362,173383,261,24086,333,109,1,44274,170,277,140,152,189,1413,43,106,40895,237,0,107,496,216,19096,405,2263,125,9656,226,537466,34,68,1308,2,0,6632,1834,60759,0,2302,343227,22157,92,53,10723,1374,1466,1941,1,3620,83,0,205953,517,6120,137,1086529,3678,152,268123,14,132,9,0,371,1,165,339,122,8290,0,1354,0,1,85,22,228579,298,423,0,2,0,195,403,18138,0,942,1347,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,194113,279,0,77,0,9950,1,12,2,14792,376,157
BGR,1004,754,75816,0,50692,1400,3704,18,15058,285128,8256,0,8,160215,34,24,292,0,562,396,50287,95128,18,29,17,9118,226,14,0,114,26,22613,96702,1839,41976,198,277,62,174,2165,22,16,1199,1629,105,59031,258661,1098572,55,0,54723,1048,1521,807,6983,3,290072,21702,213,0,0,35490,17,135778,0,150,916813,37202,485,56,25,7,0,272,3679862,94,15,3543,11,86896,21,510211,3185,16431,33452,38547,3062,1471,192202,447312,130,3864,20056,11870,0,0,828,2128,136,0,10,22875,6479,24,7872,25,86,97,1288,25,30918,18848,16147,1224,7169,2541,224,4911,8321,0,599347,109,36377,143,408,137,60,1696,22,6296,406,10,4588,305,0,110161,91252,434,0,3421,805,864,1044,2085,2183,5,43,490833,3,28149,163,0,2923,3270800,616407,60,3163,544,155,4767,6,26,16,10977,26,3,21,89471,57313,54471,0,783,0,11,14,81,7402,1187,584,0,0,0,187,1962,3001100,0,2055,315,380035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,127902,1072,5,904,8,2994,6,1,0,4332,57,90
BHR,458,64,234,0,950769,92,486,4,3202,5180,3068,0,10,1959,5,12,73800,655,0,18,4714,329,2,5,8,605,6,72,0,25,1,6217,7588,56,11619,65,114,6,8,401,21,7,33,104,20,4475,1909,28575,957,1,1936,77,1609,18,74671,106,11092,188,6923,0,0,534,15,21470,2,37,88244,3943,392,12,3,15,1,4,4744,16,2,5569,3,563,2,1036,20602,354472,4255,83990,93324,130,211,17758,49,46388,5421,1094,0,0,2765,176,131,0,0,3037,214045,10,20547,7,126,7,21509,1,181,176,210,8,11021,59,68,2691,252,0,196,43,370,330,43,155,84,362,15,15381,31,10,504,7,0,8013,857,10574,0,704,103853,90692,120,33,38893,0,2,1164,0,1223,1,0,283257,1087,9787,23,9909506,7433,77,4973,0,16,0,0,482,0,2,353,292,1179,0,1065,66,4,22,10,41680,252,756,0,1,0,133,3954,126303,0,1022,295,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,69505,204,5,163,1,477,1,2,19,3790,61,163
BHS,2,26,1,0,308,2053,2,521,3930,1154,47,0,0,1338,1,1,17,354,17,0,32,2,250,1383,100,4341,3559,0,11,8,1,158531,5984,1884,4016,7,13,0,8,3657,0,0,1622,18995,5426,63,248,6962,1,235,702,4988,9,1189,62,0,3695,297,2,0,0,575,14,10346,0,5,29322,34,51,2,2,9,1,0,841,686,1493,351,644,425,4338,252,236,1077,885,12,6,91,1013,11922,28018,8,471,42,0,0,73,1,2,0,387,416,181,0,26,0,0,881,45,0,137,191,125,0,109,6,2,12,6932,0,16,1,86,26,1,0,1,42,2,159,12,0,1389,764,0,2002,504,10,0,873,12,11,4385,1330,1893,0,2,2445,0,754,649,0,58,1713,683,5,51,0,20,320,1,71,330,0,0,0,360,13,12,761,0,14,0,15448,0,0,131,0,0,0,0,0,4927,32,257,0,24,97,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,1781052,0,155,876,298,46,5,0,0,1803,20,17
